"Canton","Classes d'âge par étapes de 5 ans","Mois","Septembre 2017","Total"
 , ,"Mesures","Taux de chômage","Taux de chômage"
"Thurgovie","45-49 ans",,"1.4","1.4"
"Thurgovie","50-54 ans",,"1.7","1.7"
"Thurgovie","55-59 ans",,"2.1","2.1"
"Thurgovie","60 ans et plus",,"2.2","2.2"
"Tessin","15-19 ans",,"4.7","4.7"
"Tessin","20-24 ans",,"5.4","5.4"
"Tessin","25-29 ans",,"3.7","3.7"
"Tessin","30-34 ans",,"3.6","3.6"
"Tessin","35-39 ans",,"2.7","2.7"
"Tessin","40-44 ans",,"2.4","2.4"
"Tessin","45-49 ans",,"2.3","2.3"
"Tessin","50-54 ans",,"2.9","2.9"
"Tessin","55-59 ans",,"3.3","3.3"
"Tessin","60 ans et plus",,"2.7","2.7"
"Vaud","15-19 ans",,"2.4","2.4"
"Vaud","20-24 ans",,"5.1","5.1"
"Vaud","25-29 ans",,"5.5","5.5"
"Vaud","30-34 ans",,"5.3","5.3"
"Vaud","35-39 ans",,"4.7","4.7"
"Vaud","40-44 ans",,"4.1","4.1"
"Vaud","45-49 ans",,"3.8","3.8"
"Vaud","50-54 ans",,"3.9","3.9"
"Vaud","55-59 ans",,"3.9","3.9"
"Vaud","60 ans et plus",,"2.9","2.9"
"Valais","15-19 ans",,"2.5","2.5"
"Valais","20-24 ans",,"3.8","3.8"
"Valais","25-29 ans",,"3.5","3.5"
"Valais","30-34 ans",,"3.2","3.2"
"Valais","35-39 ans",,"3.1","3.1"
"Valais","40-44 ans",,"2.3","2.3"
"Valais","45-49 ans",,"2.2","2.2"
"Valais","50-54 ans",,"2.4","2.4"
"Valais","55-59 ans",,"2.5","2.5"
"Valais","60 ans et plus",,"2.6","2.6"
"Neuchâtel","15-19 ans",,"5.7","5.7"
"Neuchâtel","20-24 ans",,"6.4","6.4"
"Neuchâtel","25-29 ans",,"6.3","6.3"
"Neuchâtel","30-34 ans",,"5.8","5.8"
"Neuchâtel","35-39 ans",,"5.4","5.4"
"Neuchâtel","40-44 ans",,"4.4","4.4"
"Neuchâtel","45-49 ans",,"4.3","4.3"
"Neuchâtel","50-54 ans",,"4.5","4.5"
"Neuchâtel","55-59 ans",,"4.7","4.7"
"Neuchâtel","60 ans et plus",,"4.5","4.5"
"Genève","15-19 ans",,"2.2","2.2"
"Genève","20-24 ans",,"5.4","5.4"
"Genève","25-29 ans",,"7.2","7.2"
"Genève","30-34 ans",,"6.6","6.6"
"Genève","35-39 ans",,"5.9","5.9"
"Genève","40-44 ans",,"5.2","5.2"
"Genève","45-49 ans",,"4.4","4.4"
"Genève","50-54 ans",,"4.4","4.4"
"Genève","55-59 ans",,"4","4"
"Genève","60 ans et plus",,"3.5","3.5"
"Jura","15-19 ans",,"3.6","3.6"
"Jura","20-24 ans",,"6","6"
"Jura","25-29 ans",,"5.2","5.2"
"Jura","30-34 ans",,"5.1","5.1"
"Jura","35-39 ans",,"4.5","4.5"
"Jura","40-44 ans",,"3.7","3.7"
"Jura","45-49 ans",,"3.9","3.9"
"Jura","50-54 ans",,"4","4"
"Jura","55-59 ans",,"4.1","4.1"
"Jura","60 ans et plus",,"4","4"
